Date,CPU Utilization,Total Power,CPU Power,GPU Power
2026-02-02 22:20:59,0.00500417014178,3.78068799999892,3.78068799999892,0.00000000000000
2026-02-02 22:21:00,0.00584307178631,4.08374299999559,4.08374299999559,0.00000000000000
2026-02-02 22:21:01,0.00667779632721,3.97582200000033,3.97582200000033,0.00000000000000
2026-02-02 22:21:02,0.00668896321070,4.50484899999719,4.50484899999719,0.00000000000000
2026-02-02 22:21:03,0.00584307178631,3.96798000000126,3.96798000000126,0.00000000000000
2026-02-02 22:21:04,0.00501253132832,4.10366899999644,4.10366899999644,0.00000000000000
2026-02-02 22:21:05,0.00583819849875,3.93113200000516,3.93113200000516,0.00000000000000
2026-02-02 22:21:06,0.00501253132832,4.17467999999644,4.17467999999644,0.00000000000000
2026-02-02 22:21:07,0.00500834724541,4.12230000000272,4.12230000000272,0.00000000000000
2026-02-02 22:21:08,0.00667779632721,4.26024699999834,4.26024699999834,0.00000000000000
2026-02-02 22:21:09,0.00751252086811,4.14366100000188,4.14366100000188,0.00000000000000
2026-02-02 22:21:10,0.00501253132832,3.95740700000169,3.95740700000169,0.00000000000000
2026-02-02 22:21:11,0.00667222685571,3.87243399999716,3.87243399999716,0.00000000000000
2026-02-02 22:21:12,0.00584795321637,4.15826200000447,4.15826200000447,0.00000000000000
2026-02-02 22:21:13,0.00583819849875,3.95115100000112,3.95115100000112,0.00000000000000
2026-02-02 22:21:14,0.00584307178631,4.18999900000199,4.18999900000199,0.00000000000000
2026-02-02 22:21:15,0.00833333333333,4.27021100000275,4.27021100000275,0.00000000000000
2026-02-02 22:21:16,0.00500834724541,3.90125699999771,3.90125699999771,0.00000000000000
2026-02-02 22:21:17,0.00584307178631,4.08516200000304,4.08516200000304,0.00000000000000
2026-02-02 22:21:18,0.00501253132832,4.12538099999801,4.12538099999801,0.00000000000000
2026-02-02 22:21:19,0.00751252086811,4.29538699999830,4.29538699999830,0.00000000000000
2026-02-02 22:21:20,0.00500834724541,4.09321800000180,4.09321800000180,0.00000000000000
2026-02-02 22:21:21,0.00583819849875,3.99594900000375,3.99594900000375,0.00000000000000
2026-02-02 22:21:22,0.00500834724541,4.33909999999742,4.33909999999742,0.00000000000000
2026-02-02 22:21:23,0.00584795321637,4.41272000000026,4.41272000000026,0.00000000000000
2026-02-02 22:21:24,0.00667779632721,4.42942799999582,4.42942799999582,0.00000000000000
2026-02-02 22:21:25,0.00500417014178,4.04899999999907,4.04899999999907,0.00000000000000
2026-02-02 22:21:26,0.00500834724541,3.93757100000221,3.93757100000221,0.00000000000000
2026-02-02 22:21:27,0.00500834724541,4.17710600000282,4.17710600000282,0.00000000000000
2026-02-02 22:21:28,0.00584795321637,4.35434399999940,4.35434399999940,0.00000000000000
2026-02-02 22:21:29,0.00584307178631,4.09103599999798,4.09103599999798,0.00000000000000
2026-02-02 22:21:30,0.00501253132832,4.15006900000299,4.15006900000299,0.00000000000000
2026-02-02 22:21:31,0.00583819849875,4.07503100000031,4.07503100000031,0.00000000000000
2026-02-02 22:21:32,0.00667779632721,4.33606500000315,4.33606500000315,0.00000000000000
2026-02-02 22:21:33,0.00584307178631,4.21265699999640,4.21265699999640,0.00000000000000
2026-02-02 22:21:34,0.00501253132832,4.30882900000142,4.30882900000142,0.00000000000000
2026-02-02 22:21:35,0.00583819849875,3.87325799999962,3.87325799999962,0.00000000000000
2026-02-02 22:21:36,0.00501253132832,3.93259699999908,3.93259699999908,0.00000000000000
2026-02-02 22:21:37,0.00501253132832,3.93723599999794,3.93723599999794,0.00000000000000
2026-02-02 22:21:38,0.00584795321637,4.34865200000058,4.34865200000058,0.00000000000000
2026-02-02 22:21:39,0.00667779632721,4.11032200000045,4.11032200000045,0.00000000000000
2026-02-02 22:21:40,0.00584795321637,4.20090899999923,4.20090899999923,0.00000000000000
2026-02-02 22:21:41,0.00667222685571,3.97753199999715,3.97753199999715,0.00000000000000
2026-02-02 22:21:42,0.00418060200669,4.15778999999748,4.15778999999748,0.00000000000000
2026-02-02 22:21:43,0.00667222685571,4.13253700000496,4.13253700000496,0.00000000000000
2026-02-02 22:21:44,0.00667779632721,4.35162799999671,4.35162799999671,0.00000000000000
2026-02-02 22:21:45,0.00501253132832,3.95357599999988,3.95357599999988,0.00000000000000
2026-02-02 22:21:46,0.00667222685571,4.01143500000035,4.01143500000035,0.00000000000000
2026-02-02 22:21:47,0.00500834724541,3.91169300000183,3.91169300000183,0.00000000000000
2026-02-02 22:21:48,0.00750625521268,4.38290699999925,4.38290699999925,0.00000000000000
2026-02-02 22:21:49,0.00584307178631,4.07487799999944,4.07487799999944,0.00000000000000
2026-02-02 22:21:50,0.00501253132832,4.14814699999988,4.14814699999988,0.00000000000000
2026-02-02 22:21:51,0.00584307178631,4.19367600000260,4.19367600000260,0.00000000000000
2026-02-02 22:21:52,0.00584307178631,4.02979100000084,4.02979100000084,0.00000000000000
2026-02-02 22:21:53,0.00751252086811,4.23938900000212,4.23938900000212,0.00000000000000
2026-02-02 22:21:54,0.00584795321637,4.32301899999584,4.32301899999584,0.00000000000000
2026-02-02 22:21:55,0.00500834724541,3.75420000000304,3.75420000000304,0.00000000000000
2026-02-02 22:21:56,0.00500834724541,4.07960800000001,4.07960800000001,0.00000000000000
2026-02-02 22:21:57,0.00584307178631,4.18371299999853,4.18371299999853,0.00000000000000
2026-02-02 22:21:58,0.00500834724541,4.06325099999958,4.06325099999958,0.00000000000000
2026-02-02 22:21:59,0.00750000000000,4.21372600000177,4.21372600000177,0.00000000000000
